"","player_id","player_name","team","pos","sportradar_id","position_eligibility"
"1",13775,"Lamar Jackson","BAL","QB","e06a9c07-453a-4bb0-a7e9-2c3a64166dad","QB"
"2",13761,"Josh Allen","BUF","QB","3069db07-aa43-4503-ab11-2ae5c0002721","QB"
"3",12894,"Patrick Mahomes","KC","QB","11cad59d-90dd-449c-a839-dddaba4fe16c","QB"
"4",12197,"Tyreek Hill","MIA","WR","01d8aee3-e1c4-4988-970a-8c0c2d08bd83","WR"
"5",16250,"Ja'Marr Chase","CIN","WR","fa99e984-d63b-4ef4-a164-407f68a7eeaf","WR"
"6",15540,"Justin Jefferson","MIN","WR","4131d4ee-0318-4bb5-832a-4dec80668a4f","WR"
"7",9360,"Travis Kelce","KC","TE","c3859e06-5f23-4302-a71b-04820a899d5f","TE"
"8",12970,"Cooper Kupp","LAR","WR","2806e915-c46f-492f-8a29-71d3a85e5620","WR"
"9",12919,"Deshaun Watson","CLE","QB","eec5265c-7731-4bb6-8af2-4f98a67f9ab7","QB"
"10",15523,"CeeDee Lamb","DAL","WR","a72ea15b-5199-4101-a300-846e1c655add","WR"
"11",15581,"Jalen Hurts","PHI","QB","64bd0f02-6a5d-407e-98f1-fd02048ea21d","QB"
"12",15532,"Joe Burrow","CIN","QB","3023ac10-4e7f-425f-9fc5-2b8e6332c92e","QB"
"13",16242,"Trevor Lawrence","JAC","QB","aaa8b42c-4d87-45f6-bfd2-e31cfed9a736","QB"
"14",15516,"Justin Herbert","LAC","QB","f0a8f8e3-b9e9-46ed-85e4-eec6452a8a44","QB"
"15",8598,"Russell Wilson","DEN","QB","409d4cac-ee90-4470-9710-ebe671678339","QB"
"16",12159,"Dak Prescott","DAL","QB","86197778-8d4b-4eba-affe-08ef7be7c70b","QB"
"17",9372,"Geno Smith","SEA","QB","cfc93f5e-105e-4a5e-88d3-f4279893cfa8","QB"
"18",12892,"Christian McCaffrey","SF","RB","f96db0af-5e25-42d1-a07a-49b4e065b364","RB"
"19",10295,"Davante Adams","LV","WR","e7d6ae25-bf15-4660-8b37-c37716551de3","WR"
"20",13325,"Austin Ekeler","LAC","RB","e5b8c439-a48a-4f83-b63b-1a4d30e04cd3","RB"
"21",14706,"DK Metcalf","SEA","WR","754faf0f-40f7-45f0-b23b-6ce990ecaf26","WR"
"22",15533,"Tua Tagovailoa","MIA","QB","26ad9c27-de38-495e-913c-6fb2428e76d3","QB"
"23",8625,"Kirk Cousins","MIN","QB","bbd0942c-6f77-4f83-a6d0-66ec6548019e","QB"
"24",16262,"Justin Fields","CHI","QB","cf15be8f-9117-4531-a517-2b9c7cb3e9e1","QB"
"25",12102,"Jared Goff","DET","QB","aba8f925-ffbf-4654-bfa7-a25d3d237494","QB"
"26",3452,"Aaron Rodgers","NYJ","QB","0ce48193-e2fa-466e-a986-33f751add206","QB"
"27",6038,"Matthew Stafford","LAR","QB","ade43b1a-0601-4672-83b6-d246bc066a19","QB"
"28",14759,"Tony Pollard","DAL","RB","33b0227d-4c21-4e71-b4cd-be35f7db9123","RB"
"29",16373,"Amon-Ra St. Brown","DET","WR","26ef0447-29b8-4dd1-9831-dcbf8132bb74","WR"
"30",10315,"Derek Carr","NO","QB","9f026fc0-4449-4dc5-a226-2e2830619381","QB"
"31",12975,"Joe Mixon","CIN","RB","7797f36e-87e8-4282-b6d2-bdb1774fc3b3","RB"
"32",14668,"Daniel Jones","NYG","QB","0042266b-cb28-4012-bfd2-06650badad97","QB"
"33",13778,"Saquon Barkley","NYG","RB","9811b753-347c-467a-b3cb-85937e71e2b9","RB"
"34",16339,"Rhamondre Stevenson","NE","RB","6260e78a-64e2-4f7e-9bf8-39948a17a370","RB"
"35",11329,"Stefon Diggs","BUF","WR","a1c40664-b265-4083-aad2-54b4c734f2c5","WR"
