"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"1178",3,880727,"Trancemark Troublemakers",122.7,"LOSE",880716,"thequicknthedead’s Sloppy Steaks",130.86,"50883782",TRUE,TRUE,NA,NA,NA
"1179",3,1252730,"Show Me Your TDs",125.4,"WIN",880747,"Olave Garden",110.92,"50883784",TRUE,TRUE,NA,NA,NA
"1180",3,1084591,"sakuraba39",103.42,"LOSE",1171752,"Wocao",124.36,"50883783",TRUE,TRUE,NA,NA,NA
"1181",3,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",84.48,"WIN",1315309,"GoldenFalcon's GoldenFalcons",75.2,"50883781",TRUE,TRUE,NA,NA,NA
"1182",3,1252734,"ogin's Iowa’s Offensive Offense",129.66,"WIN",1316968,"Gonzofisted Slurms",85.6,"50883785",TRUE,TRUE,NA,NA,NA
"1183",3,880715,"Basedinspace's Lobos",103.58,"WIN",880886,"HiredGoon's Mud is a Food",99.9,"50883780",TRUE,TRUE,NA,NA,NA
"1184",3,880716,"thequicknthedead’s Sloppy Steaks",130.86,"WIN",880727,"Trancemark Troublemakers",122.7,"50883782",TRUE,TRUE,NA,NA,NA
"1185",3,880747,"Olave Garden",110.92,"LOSE",1252730,"Show Me Your TDs",125.4,"50883784",TRUE,TRUE,NA,NA,NA
"1186",3,1171752,"Wocao",124.36,"WIN",1084591,"sakuraba39",103.42,"50883783",TRUE,TRUE,NA,NA,NA
"1187",3,1315309,"GoldenFalcon's GoldenFalcons",75.2,"LOSE",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",84.48,"50883781",TRUE,TRUE,NA,NA,NA
"1188",3,1316968,"Gonzofisted Slurms",85.6,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",129.66,"50883785",TRUE,TRUE,NA,NA,NA
"1189",4,1316968,"Gonzofisted Slurms",125.76,"WIN",880715,"Basedinspace's Lobos",107.46,"50883791",TRUE,NA,NA,NA,NA
"1190",4,1171752,"Wocao",130.58,"WIN",880747,"Olave Garden",111.02,"50883789",TRUE,NA,NA,NA,NA
"1191",4,1252734,"ogin's Iowa’s Offensive Offense",158.88,"WIN",880886,"HiredGoon's Mud is a Food",150.62,"50883790",TRUE,NA,NA,NA,NA
"1192",4,880727,"Trancemark Troublemakers",135.38,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",97.5,"50883787",TRUE,NA,NA,NA,NA
"1193",4,1084591,"sakuraba39",139.46,"LOSE",1252730,"Show Me Your TDs",141.34,"50883788",TRUE,NA,NA,NA,NA
"1194",4,880716,"thequicknthedead’s Sloppy Steaks",154.52,"WIN",1315309,"GoldenFalcon's GoldenFalcons",127.22,"50883786",TRUE,NA,NA,NA,NA
"1195",4,880715,"Basedinspace's Lobos",107.46,"LOSE",1316968,"Gonzofisted Slurms",125.76,"50883791",TRUE,NA,NA,NA,NA
"1196",4,880747,"Olave Garden",111.02,"LOSE",1171752,"Wocao",130.58,"50883789",TRUE,NA,NA,NA,NA
"1197",4,880886,"HiredGoon's Mud is a Food",150.62,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",158.88,"50883790",TRUE,NA,NA,NA,NA
